texto,categoria,comentário
" Relutam a reconhecer que estamos avançando, competindo e nos adaptando aos novos tempos, em vários planos: o da globalização, o da reestruturação do Estado, o da revitalização da cultura",24,Ambíguo
 O Brasil voltou a ser respeitado no exterior,4,Credibilidade
" Os investimentos estrangeiros multiplicaram-se, gerando novos horizontes para os brasileiros",4,Investimentos
" Também no plano externo o Brasil colhe os frutos da democracia, da estabilidade econômica e de uma renovada confiança no potencial de nosso mercado",4,Investimentos e frutos da macroeconomia
 O País torna se mais relevante para o mundo,24,Sem categoria
" Ao mesmo tempo, o mundo se torna mais relevante para o bem estar dos brasileiros",24,Sem categoria
" Em um sistema internacional onde aumenta a interdependência, é inevitável que sejamos afetados por eventos originados em outras regiões do mundo, mesmo as mais longínquas",1,Relações globais
 Os problemas dos outros tornam-se também nossos,1,Relações globais
" Da mesma forma, nossos problemas passam a afetar mais diretamente outros países",1,Relações globais
" Mais do que nunca, é necessário que o Brasil saiba identificar os seus interesses  nacionais  e  falar  com  firmeza  para  defendê-los  nos  foros internacionais",3,Relações nos fóruns
" O interesse nacional, hoje, não  se coaduna com isolamento",24,NAtureza do interesse nacional
" Afirmamos nossa soberania pela participação e pela integração, não pelo distanciamento",3,Participação pela participação
 É o que estamos fazendo no Mercosul – dimensão prioritária e irreversível de nossa diplomacia,2,Mercosul
" É o que estamos realizando com a criação de um espaço integrado de paz, democracia e prosperidade compartilhada na América do Sul",2,AS
" É o que se reflete em nossa visão da integração hemisférica e de laços mais sólidos com a União Europeia, a Rússia, a China e o Japão, sem detrimento para os nossos vínculos históricos com a África",1,Relações gerais
 O Brasil está assim consolidando uma inserção ativa e soberana no sistema internacional,24,INserção ativa
" E será um mercado mais atraente para os investimentos, tanto internos quanto externos, que gerarão crescimento e empregos",4,Investimentos
