texto,categoria,comentário
"Vivemos um dos melhores períodos da vida nacional: milhões de empregos estão sendo criados; nossa taxa de crescimento mais que dobrou e encerramos um longo período de dependência do FMI, ao mesmo tempo em que superamos nossa dívida externa",4,"Embora perpasse outros temas, a parte internacional predomina a questão do FMI e da dívida"
Valorizar nosso parque industrial e ampliar sua força exportadora será meta permanente,4,Exportações
" A competitividade de nossa agricultura e da pecuária, que faz do Brasil grande exportador de produtos de qualidade para todos os continentes, merecerá toda nossa atenção",4,Exportações
 Nos setores mais produtivos a internacionalização de nossas empresas já é uma realidade,4,Exportações
" Atuaremos decididamente nos fóruns multilaterais na defesa de políticas econômicas saudáveis e equilibradas, protegendo o país da concorrência desleal e do fluxo indiscriminado de capitais especulativos",4,Fluxos financeiros
Não faremos a menor concessão ao protecionismo dos países ricos que sufoca qualquer possibilidade de superação da pobreza de tantas nações pela via do esforço de produção,4,Fluxos financeiros e protecionismo
"Considero uma missão sagrada do Brasil a de mostrar ao mundo que é possível um país crescer aceleradamente, sem destruir o meio-ambiente",7,Sem ambiguidade
Nossa política ambiental favorecerá nossa ação nos fóruns multilaterais,7,Sem ambiguidade
" Mas o Brasil não condicionará sua ação ambiental ao sucesso e ao cumprimento, por terceiros, de acordos internacionais",7,Sem ambiguidade
Defender o equilíbrio ambiental do planeta é um dos nossos compromissos nacionais mais universais,7,Sem ambiguidade
"Nossa política externa estará baseada nos valores clássicos da tradição diplomática brasileira: promoção da paz, respeito ao princípio de não-intervenção, defesa dos Direitos Humanos e fortalecimento do multilateralismo",24,Com muita ambiguidade
O meu governo continuará engajado na luta contra a fome e a miséria no mundo,6,Sem ambiguidade
Seguiremos aprofundando o relacionamento com nossos vizinhos sul-americanos; com nossos irmãos da América Latina e do Caribe; com nossos irmãos africanos e com os povos do Oriente Médio e dos países asiáticos,1,Relações entre países
 Preservaremos e aprofundaremos o relacionamento com os Estados Unidos e com a União Européia,1,Relações entre países
Vamos dar grande atenção aos países emergentes,1,Relações entre países
"O Brasil reitera, com veemência e firmeza, a decisão de associar seu desenvolvimento econômico, social e político ao de nosso continente",2,Desenvolvimento regional
"Podemos transformar nossa região em componente essencial do mundo multipolar que se anuncia, dando consistência cada vez maior ao Mercosul e à Unasul",2,Desenvolvimento regional
" Vamos contribuir para a estabilidade financeira internacional, com uma intervenção qualificada nos fóruns multilaterais",4,Sem ambiguidade
"Nossa tradição de defesa da paz não nos permite qualquer indiferença frente à existência de enormes arsenais atômicos, à proliferação nuclear, ao terrorismo e ao crime organizado transnacional",11,Sem ambiguidade
"Nossa ação política externa continuará propugnando pela reforma dos organismos de governança mundial, em especial as Nações Unidas e seu Conselho de Segurança",3,ONU
